step,target_class,confidence,diff_x,diff_y,smoothed_diff_x,smoothed_diff_y,direction,pos_x,pos_y,pos_z
213,person,0.79,-81,124,-46.8,118.0,"['LEFT', 'DOWN']",0.030,-0.171,1.000
214,person,0.77,-102,127,-66.2,120.0,"['LEFT', 'DOWN']",0.030,-0.172,1.000
215,person,0.75,-118,128,-85.8,121.8,"['LEFT', 'DOWN']",0.030,-0.174,1.000
216,person,0.70,-137,129,-102.2,124.4,"['LEFT', 'DOWN']",0.031,-0.175,1.000
217,person,0.74,-152,132,-118.0,128.0,"['LEFT', 'DOWN']",0.031,-0.177,1.000
218,person,0.78,-160,134,-133.8,130.0,"['LEFT', 'DOWN']",0.031,-0.178,1.000
219,person,0.67,-162,136,-145.8,131.8,"['LEFT', 'DOWN']",0.032,-0.180,1.000
220,person,0.62,-170,138,-156.2,133.8,"['LEFT', 'DOWN']",0.032,-0.182,1.000
221,person,0.69,-185,146,-165.8,137.2,"['LEFT', 'DOWN']",0.032,-0.183,1.000
222,person,0.56,-188,150,-173.0,140.8,"['LEFT', 'DOWN']",0.033,-0.185,1.000
223,person,0.47,-190,152,-179.0,144.4,"['LEFT', 'DOWN']",0.033,-0.186,1.000
224,person,0.41,-191,155,-184.8,148.2,"['LEFT', 'DOWN']",0.033,-0.188,1.000
225,person,0.68,-271,156,-205.0,151.8,"['LEFT', 'DOWN']",0.033,-0.189,1.000
226,person,0.64,-274,159,-222.8,154.4,"['LEFT', 'DOWN']",0.034,-0.191,1.000
227,person,0.64,-274,159,-240.0,156.2,"['LEFT', 'DOWN']",0.034,-0.193,1.000
228,person,0.65,-276,159,-257.2,157.6,"['LEFT', 'DOWN']",0.034,-0.194,1.000
229,person,0.63,-278,162,-274.6,159.0,"['LEFT', 'DOWN']",0.034,-0.196,1.000
230,person,0.61,-278,163,-276.0,160.4,"['LEFT', 'DOWN']",0.035,-0.198,1.000
231,person,0.58,-279,165,-277.0,161.6,"['LEFT', 'DOWN']",0.035,-0.199,1.000
232,person,0.57,-279,166,-278.0,163.0,"['LEFT', 'DOWN']",0.035,-0.201,1.000
233,person,0.62,-279,170,-278.6,165.2,"['LEFT', 'DOWN']",0.035,-0.203,1.000
234,person,0.57,-280,171,-279.0,167.0,"['LEFT', 'DOWN']",0.036,-0.204,1.000
235,person,0.59,-279,174,-279.2,169.2,"['LEFT', 'DOWN']",0.036,-0.206,1.000
236,person,0.63,-278,177,-279.0,171.6,"['LEFT', 'DOWN']",0.036,-0.208,1.000
237,person,0.63,-278,177,-278.8,173.8,"['LEFT', 'DOWN']",0.036,-0.209,1.000
238,person,0.66,-277,179,-278.4,175.6,"['LEFT', 'DOWN']",0.036,-0.211,1.000
239,person,0.67,-274,183,-277.2,178.0,"['LEFT', 'DOWN']",0.036,-0.213,1.000
240,person,0.72,-272,185,-275.8,180.2,"['LEFT', 'DOWN']",0.036,-0.215,1.000
241,person,0.73,-269,189,-274.0,182.6,"['LEFT', 'DOWN']",0.037,-0.216,1.000
242,person,0.72,-266,190,-271.6,185.2,"['LEFT', 'DOWN']",0.037,-0.218,1.000
243,person,0.69,-269,191,-270.0,187.6,"['LEFT', 'DOWN']",0.037,-0.220,1.000
244,person,0.67,-268,191,-268.8,189.2,"['LEFT', 'DOWN']",0.037,-0.222,1.000
245,person,0.68,-256,192,-265.6,190.6,"['LEFT', 'DOWN']",0.037,-0.223,1.000
246,person,0.68,-256,192,-263.0,191.2,"['LEFT', 'DOWN']",0.037,-0.225,1.000
247,person,0.68,-256,192,-261.0,191.6,"['LEFT', 'DOWN']",0.037,-0.227,1.000
248,person,0.71,-257,193,-258.6,192.0,"['LEFT', 'DOWN']",0.037,-0.229,1.000
249,person,0.74,-262,194,-257.4,192.6,"['LEFT', 'DOWN']",0.037,-0.231,1.000
250,person,0.76,-261,194,-258.4,193.0,"['LEFT', 'DOWN']",0.037,-0.232,1.000
251,person,0.77,-251,195,-257.4,193.6,"['LEFT', 'DOWN']",0.037,-0.234,1.000
252,person,0.79,-251,195,-256.4,194.2,"['LEFT', 'DOWN']",0.037,-0.236,1.000
253,person,0.78,-250,196,-255.0,194.8,"['LEFT', 'DOWN']",0.038,-0.238,1.000
254,person,0.78,-250,196,-252.6,195.2,"['LEFT', 'DOWN']",0.038,-0.240,1.000
255,person,0.78,-250,196,-250.4,195.6,"['LEFT', 'DOWN']",0.038,-0.242,1.000
256,person,0.77,-250,196,-250.2,195.8,"['LEFT', 'DOWN']",0.038,-0.244,1.000
257,person,0.77,-250,196,-250.0,196.0,"['LEFT', 'DOWN']",0.038,-0.245,1.000
258,person,0.77,-249,197,-249.8,196.2,"['LEFT', 'DOWN']",0.038,-0.247,1.000
259,person,0.77,-249,197,-249.6,196.4,"['LEFT', 'DOWN']",0.038,-0.249,1.000
260,person,0.77,-250,197,-249.6,196.6,"['LEFT', 'DOWN']",0.037,-0.251,1.000
261,person,0.77,-249,196,-249.4,196.6,"['LEFT', 'DOWN']",0.037,-0.253,1.000
262,person,0.78,-248,196,-249.0,196.6,"['LEFT', 'DOWN']",0.037,-0.255,1.000
263,person,0.79,-248,196,-248.8,196.4,"['LEFT', 'DOWN']",0.037,-0.257,1.000
264,person,0.80,-249,194,-248.8,195.8,"['LEFT', 'DOWN']",0.037,-0.259,1.000
265,person,0.80,-246,188,-248.0,194.0,"['LEFT', 'DOWN']",0.037,-0.261,1.000
266,person,0.81,-243,183,-246.8,191.4,"['LEFT', 'DOWN']",0.037,-0.263,1.000
267,person,0.81,-243,183,-245.8,188.8,"['LEFT', 'DOWN']",0.037,-0.265,1.000
268,person,0.85,-241,178,-244.4,185.2,"['LEFT', 'DOWN']",0.037,-0.267,1.000
269,person,0.87,-239,172,-242.4,180.8,"['LEFT', 'DOWN']",0.037,-0.269,1.000
270,person,0.86,-237,167,-240.6,176.6,"['LEFT', 'DOWN']",0.037,-0.270,1.000
271,person,0.79,-235,161,-239.0,172.2,"['LEFT', 'DOWN']",0.037,-0.272,1.000
272,person,0.57,-231,156,-236.6,166.8,"['LEFT', 'DOWN']",0.036,-0.274,1.000
273,person,0.54,-161,149,-220.6,161.0,"['LEFT', 'DOWN']",0.036,-0.276,1.000
274,person,0.63,-158,144,-204.4,155.4,"['LEFT', 'DOWN']",0.036,-0.279,1.000
275,person,0.72,-156,137,-188.2,149.4,"['LEFT', 'DOWN']",0.036,-0.281,1.000
276,person,0.82,-153,128,-171.8,142.8,"['LEFT', 'DOWN']",0.036,-0.283,1.000
277,person,0.85,-145,116,-154.6,134.8,"['LEFT', 'DOWN']",0.036,-0.285,1.000
278,person,0.84,-129,105,-148.2,126.0,"['LEFT', 'DOWN']",0.035,-0.287,1.000
279,person,0.88,-109,88,-138.4,114.8,"['LEFT', 'DOWN']",0.035,-0.289,1.000
280,person,0.86,-101,69,-127.4,101.2,"['LEFT', 'DOWN']",0.035,-0.291,1.000
281,person,0.89,-96,47,-116.0,85.0,"['LEFT', 'DOWN']",0.035,-0.293,1.000
282,person,0.86,-46,1,-96.2,62.0,"['LEFT', 'DOWN']",0.035,-0.295,1.000
283,person,0.90,-40,-1,-78.4,40.8,"['LEFT', 'DOWN']",0.034,-0.297,1.000
284,person,0.91,-42,-1,-65.0,23.0,['LEFT'],0.034,-0.299,1.000
285,person,0.91,-40,-2,-52.8,8.8,['LEFT'],0.034,-0.301,1.000
286,person,0.91,-40,-1,-41.6,-0.8,['LEFT'],0.034,-0.303,1.000
287,person,0.92,-41,-2,-40.6,-1.4,['LEFT'],0.033,-0.305,1.000
288,person,0.92,-46,-2,-41.8,-1.6,['LEFT'],0.033,-0.307,1.000
289,person,0.92,-49,-1,-43.2,-1.6,['LEFT'],0.033,-0.310,1.000
290,person,0.92,-54,-1,-46.0,-1.4,['LEFT'],0.032,-0.312,1.000
291,person,0.91,-55,-1,-49.0,-1.4,['LEFT'],0.032,-0.314,1.000
292,person,0.92,-55,-1,-51.8,-1.2,['LEFT'],0.032,-0.316,1.000
293,person,0.93,-57,-1,-54.0,-1.0,['LEFT'],0.031,-0.318,1.000
294,person,0.93,-55,-1,-55.2,-1.0,['LEFT'],0.031,-0.320,1.000
